Numero Ticket;ItemID;Item;Fecha Creacion;Fecha Termino;Service Desk;Fecha Cierre;Resumen;Ubicacion;Modo Reporte;Estado;Prioridad
WO0000005307473;15;ATM;2024-06-11;17-06-24;Zona Sur;20/06/2024;REVISAR;MOLICENTRO - 193004;Web HD;Cerrado;3
WO0000005305948;188;PUERTA / MAMPARA;2024-06-11;12-06-24;Zona Sur;15/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005306504;262;VIDRIO;2024-06-11;22-06-24;Zona Sur;25/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005307455;267;ZOCALO;2024-06-11;11-06-24;Zona Sur;14/06/2024;REPARAR;ALFONSO UGARTE - 191089;Web HD;Cerrado;3
WO0000005306539;257;URINARIOS;2024-06-11;06-07-24;Zona Norte;09/07/2024;REVISAR;SOCABAYA - 215017;Web HD;Cerrado;3
WO0000005307452;188;PUERTA / MAMPARA;2024-06-11;11-06-24;Zona Sur;14/06/2024;REPARAR;VENEZUELA - 191026;Web HD;Cerrado;3
WO0000005307407;111;GRIFERIA;2024-06-11;11-06-24;Zona Centro;14/06/2024;REVISAR;C.C. MULTIPLAZA - 191077;Web HD;Cerrado;3
WO0000005307411;111;GRIFERIA;2024-06-11;11-06-24;Zona Centro;14/06/2024;REVISAR;C.C. MULTIPLAZA - 191077;Web HD;Cerrado;3
WO0000005305951;139;LONCHERA CERRADURA;2024-06-11;15-06-24;Zona Sur;18/06/2024;DUPLICADO DE LLAVE;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005307450;137;LOCKER;2024-06-11;16-06-24;Zona Sur;19/06/2024;REPARAR;LOS DAMASCOS - 193038;Web HD;Cerrado;3
WO0000005306515;91;ESCRIBANIA;2024-06-11;11-06-24;Zona Centro;14/06/2024;REPARAR;ANGELICA GAMARRA - 191057;Web HD;Cerrado;3
WO0000005306585;148;MOSTRADOR;2024-06-11;20-06-24;Zona Sur;23/06/2024;REPONER VIDRIO;CAILLOMA - 191098;Web HD;Cerrado;3
WO0000005306956;237;TACHO;2024-06-11;12-06-24;Zona Centro;15/06/2024;REPARAR;PUENTE PIEDRA - 191035;Web HD;Cerrado;3
WO0000005306991;108;FOCO FLOURESCENTES;2024-06-11;11-06-24;Zona Sur;14/06/2024;CAMBIAR;ALFONSO UGARTE - 191089;Web HD;Cerrado;3
WO0000005305928;139;LONCHERA CERRADURA;2024-06-11;15-06-24;Zona Centro;18/06/2024;DUPLICADO DE LLAVE;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005306989;69;DETECTOR DE BILLETES;2024-06-11;11-06-24;Zona Sur;14/06/2024;REPARAR;LA SALLE - 191114;Web HD;Cerrado;3
WO0000005307451;41;CAJONERA;2024-06-11;11-06-24;Zona Sur;14/06/2024;REPARAR;LA SALLE - 191114;Web HD;Cerrado;3
WO0000005306987;69;DETECTOR DE BILLETES;2024-06-11;11-06-24;Zona Sur;14/06/2024;REPARAR;LA SALLE - 191114;Web HD;Cerrado;3
WO0000005306914;30;CABLEADO;2024-06-11;22-06-24;Zona Sur;25/06/2024;REVISAR;IMPERIAL - 255001;Web HD;Cerrado;3
WO0000005305916;134;LETREROS LUMINOSO;2024-06-11;15-06-24;Zona Sur;18/06/2024;REVISAR;CONSTRUCTORES - 193005;Web HD;Cerrado;3
WO0000005306965;11;ARMARIO CERRADURA;2024-06-11;12-06-24;Zona Sur;15/06/2024;APERTURAR;PISCO - 470000;Web HD;Cerrado;3
WO0000005305965;221;SILLAS;2024-06-11;17-06-24;Zona Sur;20/06/2024;REPARAR;VENEZUELA - 191026;Web HD;Cerrado;3
WO0000005306544;29;CABLE VGA;2024-06-11;11-06-24;Zona Centro;14/06/2024;REEMPLAZAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;2
WO0000005305938;56;CONTADOR DE BILLETES;2024-06-11;13-06-24;Zona Sur;16/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005305941;56;CONTADOR DE BILLETES;2024-06-11;13-06-24;Zona Sur;16/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005305934;56;CONTADOR DE BILLETES;2024-06-11;13-06-24;Zona Sur;16/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005305930;56;CONTADOR DE BILLETES;2024-06-11;13-06-24;Zona Sur;16/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005305927;56;CONTADOR DE BILLETES;2024-06-11;13-06-24;Zona Sur;16/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005306516;237;TACHO;2024-06-11;11-06-24;Zona Centro;14/06/2024;REPARAR;ANGELICA GAMARRA - 191057;Web HD;Cerrado;3
WO0000005306550;139;LONCHERA CERRADURA;2024-06-11;15-06-24;Zona Centro;18/06/2024;REEMPLAZAR;EDUARDO DE HABICH - 191023;Web HD;Cerrado;3
WO0000005307434;91;ESCRIBANIA;2024-06-11;11-06-24;Zona Centro;14/06/2024;REPARAR;PLAZA LIMA NORTE - 191058;Web HD;Cerrado;3
WO0000005305964;221;SILLAS;2024-06-11;17-06-24;Zona Sur;20/06/2024;REPARAR;VENEZUELA - 191026;Web HD;Cerrado;3
WO0000005306990;43;CAJONERA CERRADURA;2024-06-11;11-06-24;Zona Sur;14/06/2024;DUPLICADO DE LLAVE;LA SALLE - 191114;Web HD;Cerrado;3
WO0000005306591;41;CAJONERA;2024-06-11;15-06-24;Zona Sur;18/06/2024;REPARAR;CAILLOMA - 191098;Web HD;Cerrado;3
WO0000005307448;108;FOCO FLOURESCENTES;2024-06-11;11-06-24;Zona Sur;14/06/2024;REVISAR;LA SALLE - 191114;Web HD;Cerrado;3
WO0000005305925;56;CONTADOR DE BILLETES;2024-06-11;17-06-24;Zona Sur;20/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005310811;41;CAJONERA;2024-06-12;17-06-24;Zona Centro;20/06/2024;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Web HD;Cerrado;3
WO0000005310362;188;PUERTA / MAMPARA;2024-06-12;12-06-24;Zona Sur;15/06/2024;REPARAR;GRAU (LIMA) - 191005;Web HD;Cerrado;3
WO0000005310359;108;FOCO FLOURESCENTES;2024-06-12;12-06-24;Zona Sur;15/06/2024;CAMBIAR;CAILLOMA - 191098;Web HD;Cerrado;3
WO0000005310364;108;FOCO FLOURESCENTES;2024-06-12;12-06-24;Zona Sur;15/06/2024;CAMBIAR;GRAU (LIMA) - 191005;Web HD;Cerrado;3
WO0000005310358;221;SILLAS;2024-06-12;12-06-24;Zona Sur;15/06/2024;REPARAR;CAILLOMA - 191098;Web HD;Cerrado;3
WO0000005309858;221;SILLAS;2024-06-12;16-06-24;Zona Norte;19/06/2024;REPARAR;BUSTAMANTE Y RIVERO - 215010;Web HD;Cerrado;3
WO0000005310348;221;SILLAS;2024-06-12;12-06-24;Zona Sur;15/06/2024;REPARAR;EMANCIPACION - 191054;Web HD;Cerrado;3
WO0000005311385;128;LAMPARA DE EMERGENCIA;2024-06-12;07-07-24;Zona Norte;10/07/2024;REPARAR;MOQUEGUA - 430000;Web HD;Cerrado;3
WO0000005311362;43;CAJONERA CERRADURA;2024-06-12;12-06-24;Zona Centro;15/06/2024;APERTURAR;SANTO DOMINGO - 191036;Web HD;Cerrado;3
WO0000005309132;172;PISOS PORCELANATO;2024-06-12;29-06-24;Zona Centro;02/07/2024;RESANAR;NAYLAMP - 191143;Web HD;Cerrado;3
WO0000005310817;108;FOCO FLOURESCENTES;2024-06-12;;Zona Centro;;CAMBIAR;PLAZA CIVICA VENTANILLA - 192026;Web HD;Rechazado;3
WO0000005310809;154;OFICINA;2024-06-12;18-06-24;Zona Norte;21/06/2024;FUMIGAR;URUBAMBA - 285009;Web HD;Cerrado;3
WO0000005311378;227;SISTEMA DE VIDEO;2024-06-12;20-06-24;Zona Norte;23/06/2024;REPARACION;MOQUEGUA - 430000;Web HD;Cerrado;2
WO0000005310830;103;EXTRACTOR DE AIRE;2024-06-12;24-06-24;Zona Centro;26/06/2024;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Web HD;Cerrado;3
WO0000005310334;32;CAJA BUZON;2024-06-12;18-06-24;Zona Norte;21/06/2024;REPARAR;DIAGONAL - 285003;Web HD;Cerrado;3
WO0000005309177;29;CABLE VGA;2024-06-12;07-07-24;Zona Norte;10/07/2024;REEMPLAZAR;BOLOGNESI - 540002;Web HD;Cerrado;2
WO0000005309152;56;CONTADOR DE BILLETES;2024-06-12;;Zona Centro;;REPARAR;PLAZA LIMA NORTE - 191058;Web HD;Rechazado;3
WO0000005309896;29;CABLE VGA;2024-06-12;16-06-24;Zona Centro;19/06/2024;REEMPLAZAR;C.C. MULTIPLAZA - 191077;Web HD;Cerrado;2
WO0000005309142;154;OFICINA;2024-06-12;20-06-24;Zona Centro;23/06/2024;DESRATIZAR;MEGA PLAZA - 191010;Web HD;Cerrado;3
WO0000005310852;193;PUERTA/MAMPARA FRENO HIDRAULICO;2024-06-12;26-06-24;Zona Norte;29/06/2024;REPARAR;CERRO COLORADO - 215013;Web HD;Cerrado;3
WO0000005309144;154;OFICINA;2024-06-12;20-06-24;Zona Centro;23/06/2024;DESRATIZAR;C.C. MULTIPLAZA - 191077;Web HD;Cerrado;3
WO0000005309145;154;OFICINA;2024-06-12;20-06-24;Zona Centro;23/06/2024;DESRATIZAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005309193;121;INODORO FLUXOMETRO;2024-06-12;19-06-24;Zona Centro;22/06/2024;REVISAR;PRO - 191029;Web HD;Cerrado;3
WO0000005309127;194;PUERTA/MAMPARA MANIJA;2024-06-12;13-06-24;Zona Norte;16/06/2024;REPARAR;MALL AVENTURA PLAZA AREQUIPA - 215011;Web HD;Cerrado;3
WO0000005310301;31;CAJA / TAPA DE PASO;2024-06-12;12-06-24;Zona Centro;15/06/2024;REVISAR;CHIMPU OCLLO - 191113;Web HD;Cerrado;3
WO0000005309151;154;OFICINA;2024-06-12;16-06-24;Zona Centro;19/06/2024;DESRATIZAR;PRO - 191029;Web HD;Cerrado;3
WO0000005309155;74;DISPENSADOR DE JABON LIQUIDO;2024-06-12;18-06-24;Zona Norte;21/06/2024;REPARAR;PUERTO MALDONADO - 485000;Web HD;Cerrado;3
WO0000005309146;154;OFICINA;2024-06-12;22-06-24;Zona Centro;25/06/2024;DESRATIZAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;3
WO0000005310316;267;ZOCALO;2024-06-12;12-06-24;Zona Centro;15/06/2024;REPARAR;CHIMPU OCLLO - 191113;Web HD;Cerrado;3
WO0000005311361;43;CAJONERA CERRADURA;2024-06-12;12-06-24;Zona Centro;15/06/2024;APERTURAR;SANTO DOMINGO - 191036;Web HD;Cerrado;3
WO0000005309183;163;PARED;2024-06-12;12-06-24;Zona Centro;15/06/2024;LIMPIAR;URB SAN FELIPE COMAS - 191053;Web HD;Cerrado;3
WO0000005310352;257;URINARIOS;2024-06-12;12-06-24;Zona Sur;15/06/2024;REVISAR;EMANCIPACION - 191054;Web HD;Cerrado;3
WO0000005309833;113;GRUPO ELECTROGENO;2024-06-12;13-06-24;Zona Sur;16/06/2024;ALQUILER;VENEZUELA - 191026;Web HD;Cerrado;3
WO0000005309861;171;PISOS;2024-06-12;06-07-24;Zona Centro;09/07/2024;LIMPIAR;IZAGUIRRE - 191154;Web HD;Cerrado;3
WO0000005309173;154;OFICINA;2024-06-12;07-07-24;Zona Centro;10/07/2024;FUMIGAR;MEGA PLAZA - 191010;Web HD;Cerrado;3
WO0000005310814;41;CAJONERA;2024-06-12;17-06-24;Zona Centro;20/06/2024;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Web HD;Cerrado;3
WO0000005310399;120;INDECI;2024-06-12;30-07-24;Zona Sur;02/08/2024;REALIZAR MANTENIMIENTO REGULATORIO;MARISCAL CACERES - 220002;Web HD;Cerrado;3
WO0000005309175;154;OFICINA;2024-06-12;20-06-24;Zona Centro;23/06/2024;FUMIGAR;PERU - 191056;Web HD;Cerrado;3
WO0000005309870;171;PISOS;2024-06-12;18-06-24;Zona Sur;21/06/2024;LIMPIAR;PARURO - 191047;Web HD;Cerrado;3
WO0000005310354;221;SILLAS;2024-06-12;12-06-24;Zona Sur;15/06/2024;ORDENAR;CAILLOMA - 191098;Web HD;Cerrado;3
WO0000005309168;154;OFICINA;2024-06-12;30-06-24;Zona Centro;03/07/2024;FUMIGAR;ZARATE - 191097;Web HD;Cerrado;3
WO0000005309898;43;CAJONERA CERRADURA;2024-06-12;12-06-24;Zona Centro;15/06/2024;APERTURAR;EL PROGRESO - 191037;Web HD;Cerrado;3
WO0000005310357;216;SENSOR DE PARED;2024-06-12;12-06-24;Zona Sur;15/06/2024;REPARAR;CAILLOMA - 191098;Web HD;Cerrado;3
WO0000005309897;43;CAJONERA CERRADURA;2024-06-12;12-06-24;Zona Centro;15/06/2024;APERTURAR;EL PROGRESO - 191037;Web HD;Cerrado;3
WO0000005309170;154;OFICINA;2024-06-12;30-06-24;Zona Centro;03/07/2024;FUMIGAR;SANTO DOMINGO - 191036;Web HD;Cerrado;3
WO0000005310856;35;CAJA PULMON;2024-06-12;24-06-24;Zona Norte;26/06/2024;REPARAR;CERRO COLORADO - 215013;Web HD;Cerrado;3
WO0000005309876;218;SE?ALETICA INTERNA;2024-06-12;16-06-24;Zona Sur;19/06/2024;REPONER;VITARTE - 191043;Web HD;Cerrado;3
WO0000005310335;43;CAJONERA CERRADURA;2024-06-12;17-06-24;Zona Norte;20/06/2024;REEMPLAZAR;DIAGONAL - 285003;Web HD;Cerrado;3
WO0000005310350;249;TOMACORRIENTES;2024-06-12;12-06-24;Zona Sur;15/06/2024;REVISAR;EMANCIPACION - 191054;Web HD;Cerrado;3
WO0000005310366;240;TECHO /BALDOSAS;2024-06-12;12-06-24;Zona Sur;15/06/2024;REVISAR;EMANCIPACION - 191054;Web HD;Cerrado;3
WO0000005309874;237;TACHO;2024-06-12;29-06-24;Zona Centro;02/07/2024;REPARAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005312316;79;DVR;2024-06-13;10-07-24;Zona Norte;13/07/2024;REPARAR;MOQUEGUA - 430000;Web HD;Cerrado;3
WO0000005312313;214;SENSOR DE ANIEGO;2024-06-13;15-06-24;Zona Centro;18/06/2024;REPARAR;TARAPACA - 191030;Web HD;Cerrado;3
WO0000005313007;154;OFICINA;2024-06-14;20-06-24;Zona Sur;23/06/2024;FUMIGAR;MALL AVENTURA PLAZA SANTA ANITA - 191118;Web HD;Cerrado;3
WO0000005313006;154;OFICINA;2024-06-14;;Zona Sur;;FUMIGAR;MALL AVENTURA PLAZA SANTA ANITA - 191118;Web HD;Rechazado;3
WO0000005312880;;;2024-06-14;20-06-24;Zona Centro;23/06/2024;;C.B. FIORI - 191088;TELEFONO;Cerrado;3
WO0000005315751;130;LAVATORIO;2024-06-15;16-06-24;Zona Sur;19/06/2024;REPARAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005316792;108;FOCO FLOURESCENTES;2024-06-15;;Zona Centro;;CAMBIAR;DEL AIRE - 193064;Web HD;Rechazado;3
WO0000005316763;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;ROSA TORO - 193022;Web HD;Cerrado;3
WO0000005315232;43;CAJONERA CERRADURA;2024-06-15;15-06-24;Zona Centro;18/06/2024;APERTURAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005314050;32;CAJA BUZON;2024-06-15;15-06-24;Zona Sur;18/06/2024;REPARAR;LOS DAMASCOS - 193038;Web HD;Cerrado;3
WO0000005314660;154;OFICINA;2024-06-15;20-06-24;Zona Sur;23/06/2024;FUMIGAR;IMPERIAL - 255001;Web HD;Cerrado;3
WO0000005315720;113;GRUPO ELECTROGENO;2024-06-15;16-06-24;Zona Sur;19/06/2024;REGARGAR COMBUSTIBLE;NAZCA - 440000;Web HD;Cerrado;3
WO0000005315231;43;CAJONERA CERRADURA;2024-06-15;15-06-24;Zona Centro;18/06/2024;APERTURAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005316269;32;CAJA BUZON;2024-06-15;17-06-24;Zona Norte;20/06/2024;REPARAR;SICUANI - 533000;Web HD;Cerrado;3
WO0000005315227;43;CAJONERA CERRADURA;2024-06-15;15-06-24;Zona Centro;18/06/2024;APERTURAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005314683;249;TOMACORRIENTES;2024-06-15;;Zona Norte;;REVISAR;SAN ROMAN - 405003;Web HD;Rechazado;3
WO0000005314693;136;LLAVE SHUNT;2024-06-15;16-06-24;Zona Centro;19/06/2024;REPARAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005314032;250;TOTEM;2024-06-15;23-06-24;Zona Sur;26/06/2024;REPARAR;MARISCAL CACERES - 220002;Web HD;Cerrado;3
WO0000005316233;32;CAJA BUZON;2024-06-15;18-06-24;Zona Norte;21/06/2024;REPARAR;SICUANI - 533000;Web HD;Cerrado;3
WO0000005314640;111;GRIFERIA;2024-06-15;15-06-24;Zona Centro;18/06/2024;REVISAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005316759;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;EL SOL - 191082;Web HD;Cerrado;3
WO0000005316761;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;LAS MALVINAS - 191076;Web HD;Cerrado;3
WO0000005314053;57;CONTADOR DE MONEDAS;2024-06-15;;Zona Sur;;REPARAR;LOS DAMASCOS - 193038;Web HD;Rechazado;3
WO0000005315201;56;CONTADOR DE BILLETES;2024-06-15;23-06-24;Zona Centro;26/06/2024;REPARAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005315790;108;FOCO FLOURESCENTES;2024-06-15;23-06-24;Zona Centro;26/06/2024;CAMBIAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005316758;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;3
WO0000005316765;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;NAYLAMP - 191143;Web HD;Cerrado;3
WO0000005316769;154;OFICINA;2024-06-15;04-07-24;Zona Centro;07/07/2024;FUMIGAR;C.B. FIORI - 191088;Web HD;Cerrado;3
WO0000005316773;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005314671;134;LETREROS LUMINOSO;2024-06-15;;Zona Sur;;REVISAR;IMPERIAL - 255001;Web HD;Rechazado;3
WO0000005316766;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;PUENTE PIEDRA - 191035;Web HD;Cerrado;3
WO0000005316767;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;CANTO GRANDE - 191096;Web HD;Cerrado;3
WO0000005316768;154;OFICINA;2024-06-15;30-06-24;Zona Centro;03/07/2024;FUMIGAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005316790;31;CAJA / TAPA DE PASO;2024-06-15;17-06-24;Zona Centro;20/06/2024;REVISAR;DEL AIRE - 193064;Web HD;Cerrado;3
WO0000005314661;6;ALFOMBRAS;2024-06-15;;Zona Sur;;LIMPIAR;IMPERIAL - 255001;Web HD;Rechazado;3
WO0000005314004;56;CONTADOR DE BILLETES;2024-06-15;19-06-24;Zona Centro;22/06/2024;REPARAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005315719;32;CAJA BUZON;2024-06-15;;Zona Sur;;REPARAR;PISCO - 470000;Web HD;Rechazado;3
WO0000005316793;232;TABLERO ELECTRICO;2024-06-15;24-06-24;Zona Centro;26/06/2024;REVISAR;CANTO GRANDE - 191096;Web HD;Cerrado;3
WO0000005316794;232;TABLERO ELECTRICO;2024-06-15;19-06-24;Zona Centro;22/06/2024;REVISAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;3
WO0000005315249;139;LONCHERA CERRADURA;2024-06-15;15-06-24;Zona Centro;18/06/2024;APERTURAR;BELAUNDE - 191018;Web HD;Cerrado;3
WO0000005314002;56;CONTADOR DE BILLETES;2024-06-15;19-06-24;Zona Centro;22/06/2024;REPARAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005314641;31;CAJA / TAPA DE PASO;2024-06-15;15-06-24;Zona Centro;18/06/2024;REVISAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005315200;56;CONTADOR DE BILLETES;2024-06-15;19-06-24;Zona Centro;22/06/2024;REPARAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005316789;31;CAJA / TAPA DE PASO;2024-06-15;17-06-24;Zona Centro;20/06/2024;REVISAR;DEL AIRE - 193064;Web HD;Cerrado;3
WO0000005315248;139;LONCHERA CERRADURA;2024-06-15;15-06-24;Zona Centro;18/06/2024;APERTURAR;BELAUNDE - 191018;Web HD;Cerrado;3
WO0000005315235;139;LONCHERA CERRADURA;2024-06-15;15-06-24;Zona Centro;18/06/2024;APERTURAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005315238;221;SILLAS;2024-06-15;15-06-24;Zona Centro;18/06/2024;REPARAR;VILLA SOL - 191059;Web HD;Cerrado;3
WO0000005314007;190;PUERTA / MAMPARA CERRADURA;2024-06-15;18-06-24;Zona Sur;21/06/2024;APERTURAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005315733;185;PRE INDECI;2024-06-15;25-09-24;Zona Centro;28/09/2024;REALIZAR - PRE REGULATORIO;EDUARDO DE HABICH - 191023;Web HD;Cerrado;3
WO0000005316216;5;AIRE ACONDICIONADO;2024-06-15;07-07-24;Zona Norte;10/07/2024;REPARAR;SICUANI - 533000;Web HD;Cerrado;3
WO0000005315731;188;PUERTA / MAMPARA;2024-06-15;15-06-24;Zona Norte;18/06/2024;REPARAR;CUSCO - 285000;Web HD;Cerrado;3
WO0000005315747;123;INODOROS;2024-06-15;16-06-24;Zona Sur;19/06/2024;REVISAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005315746;185;PRE INDECI;2024-06-15;25-09-24;Zona Centro;28/09/2024;REALIZAR - PRE REGULATORIO;LA PAMPILLA - 192012;Web HD;Cerrado;3
WO0000005315723;218;SE?ALETICA INTERNA;2024-06-15;15-06-24;Zona Norte;18/06/2024;REPONER;AREQUIPA - 215000;Web HD;Cerrado;3
WO0000005315715;57;CONTADOR DE MONEDAS;2024-06-15;16-06-24;Zona Sur;19/06/2024;REPARAR;LOS DAMASCOS - 193038;Web HD;Cerrado;3
WO0000005315730;43;CAJONERA CERRADURA;2024-06-15;16-06-24;Zona Sur;19/06/2024;DUPLICADO DE LLAVE;MERCADO DE PRODUCTORES - 191061;Web HD;Cerrado;3
WO0000005315777;138;LOCKER CERRADURA;2024-06-15;24-06-24;Zona Centro;26/06/2024;APERTURAR;ANGELICA GAMARRA - 191057;Web HD;Cerrado;3
WO0000005315263;188;PUERTA / MAMPARA;2024-06-15;15-06-24;Zona Norte;18/06/2024;REPARAR;CUSCO - 285000;Web HD;Cerrado;3
WO0000005315743;130;LAVATORIO;2024-06-15;15-06-24;Zona Norte;18/06/2024;REPARAR;MARIANO MELGAR - 215014;Web HD;Cerrado;3
WO0000005315728;188;PUERTA / MAMPARA;2024-06-15;15-06-24;Zona Norte;18/06/2024;REPARAR;CUSCO - 285000;Web HD;Cerrado;3
WO0000005315713;5;AIRE ACONDICIONADO;2024-06-15;16-06-24;Zona Sur;19/06/2024;REPARAR;HUAYCAN - 191085;Web HD;Cerrado;3
WO0000005314077;32;CAJA BUZON;2024-06-15;17-06-24;Zona Sur;20/06/2024;REPARAR;PISCO - 470000;Web HD;Cerrado;3
WO0000005315741;123;INODOROS;2024-06-15;16-06-24;Zona Sur;19/06/2024;REVISAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005315726;65;CREDENZA CERRADURA;2024-06-15;16-06-24;Zona Sur;19/06/2024;DUPLICADO DE LLAVE;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005315734;41;CAJONERA;2024-06-15;16-06-24;Zona Sur;19/06/2024;REPARAR;MERCADO DE PRODUCTORES - 191061;Web HD;Cerrado;3
WO0000005315796;108;FOCO FLOURESCENTES;2024-06-15;23-06-24;Zona Centro;26/06/2024;CAMBIAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005315792;108;FOCO FLOURESCENTES;2024-06-15;23-06-24;Zona Centro;26/06/2024;CAMBIAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005316791;218;SE?ALETICA INTERNA;2024-06-15;17-06-24;Zona Centro;20/06/2024;REPONER;DEL AIRE - 193064;Web HD;Cerrado;3
WO0000005314630;154;OFICINA;2024-06-15;20-06-24;Zona Norte;23/06/2024;FUMIGAR;QUILLABAMBA - 505000;Web HD;Cerrado;3
WO0000005315799;108;FOCO FLOURESCENTES;2024-06-15;24-06-24;Zona Centro;26/06/2024;CAMBIAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005315736;122;INODORO TANQUE DE AGUA;2024-06-15;16-06-24;Zona Sur;19/06/2024;REVISAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005315788;108;FOCO FLOURESCENTES;2024-06-15;23-06-24;Zona Centro;26/06/2024;CAMBIAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005315724;41;CAJONERA;2024-06-15;16-06-24;Zona Sur;19/06/2024;REPARAR;LAS ALONDRAS - 191044;Web HD;Cerrado;3
WO0000005319781;47;CANDADO;2024-06-16;18-06-24;Zona Sur;21/06/2024;APERTURAR;MOLICENTRO - 193004;Web HD;Cerrado;3
WO0000005318622;5;AIRE ACONDICIONADO;2024-06-16;20-06-24;Zona Sur;23/06/2024;REPARAR;ELIO - 191067;Web HD;Cerrado;3
WO0000005318127;190;PUERTA / MAMPARA CERRADURA;2024-06-16;16-06-24;Zona Centro;19/06/2024;APERTURAR;PROCERES - 191120;Web HD;Cerrado;3
WO0000005319798;15;ATM;2024-06-16;18-06-24;Zona Sur;21/06/2024;REVISAR;MOLICENTRO - 193004;Web HD;Cerrado;3
WO0000005319016;154;OFICINA;2024-06-16;19-06-24;Zona Norte;22/06/2024;FUMIGAR;AREQUIPA - 215000;Web HD;Cerrado;3
WO0000005318121;75;DISPENSADOR DE PAPEL HIGIENICO;2024-06-16;22-06-24;Zona Norte;25/06/2024;REPARAR;CUSCO - 285000;Web HD;Cerrado;3
WO0000005318123;138;LOCKER CERRADURA;2024-06-16;16-06-24;Zona Centro;19/06/2024;APERTURAR;PROCERES - 191120;Web HD;Cerrado;3
WO0000005318185;108;FOCO FLOURESCENTES;2024-06-16;16-06-24;Zona Centro;19/06/2024;CAMBIAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005318136;57;CONTADOR DE MONEDAS;2024-06-16;;Zona Sur;;REPARAR;PARCONA - 380007;Web HD;Rechazado;3
WO0000005317550;57;CONTADOR DE MONEDAS;2024-06-16;;Zona Sur;;REPARAR;MERCADO DE PRODUCTORES - 191061;Web HD;Rechazado;3
WO0000005319089;139;LONCHERA CERRADURA;2024-06-16;19-06-24;Zona Centro;22/06/2024;DUPLICADO DE LLAVE;EL PINO - 191087;Web HD;Cerrado;3
